"preD"	"Dd3"	"Dd6"	"Dd30"	"NonD"
"rps29"	-0.829901277685354	0.429953440135326	1.06026530164104	0.614360146023183	-1.27467761011419
"cfap46(1of2)"	1.31380512656269	0.425231405750104	-0.91170736089043	-1.09176754623281	0.264438374810444
"sash1(2of2)"	-0.242075663358741	-0.934503183580695	-0.907241279907722	1.23408611889319	0.849734007953965
"pla2g1b(3of3)"	0.628656029534389	0.626094315646026	-1.08757789079267	-1.08757789079267	0.920405436404921
"krt222"	-1.44822625425167	0.707282944086713	0.768310260394798	0.623386545483226	-0.650753495713064
"pdp1(3of3)"	0.228904726831401	-0.90962922836664	-0.90962922836664	0.0781903006660647	1.51216342923581
"mtus2(2of2)"	-1.73583551834036	0.408149957057937	0.534818892328244	0.0648171098580274	0.728049559096152
"mtf2(2of2)"	1.0457213267586	-0.993870017774955	-0.727685902180697	-0.42391809363246	1.09975268682952
"lin37"	-0.889195485097212	0.0885499970075001	0.653986420538347	1.24870981436929	-1.10205074681793
"cfap46(2of2)"	1.34554125425612	0.798753406519769	-0.605105901015973	-0.749500125253975	-0.789688634505941
"phf14"	-0.888639802842453	0.49650128003501	0.464510668220138	1.13544030868014	-1.20781245409283
"chd3(2of2)"	-0.494544568266288	-1.49229815855066	0.667671276105729	0.333564035231918	0.985607415479297
"slc7a3"	1.03872360275407	-0.786538826577329	-0.642698609427034	-0.756871730624951	1.14738556387524
"nkx1_2"	1.48779257513361	-0.132949689674128	-0.344335787001024	-1.26012711518772	0.249620016729252
"ghsr(4of4)"	-0.173378450940722	-1.28631625704815	1.12197262636435	0.875783852399114	-0.538061770774596
"cdhr5(3of3)"	-0.0339177644336806	1.47590964856275	0.114676995511406	-1.32412766111156	-0.232541218528912
"kdm2a(3of3)"	0.569192466245984	-1.26739805912626	-0.893801558618434	0.753591993065183	0.838415158433525
"fgf20(2of2)"	1.27722461151697	0.599757941681439	0.11948433430916	-1.02799231237293	-0.96847457513464
"fgf4"	-0.694792961059797	-0.694792961059797	1.47777557512886	-0.694792961059797	0.60660330805053
"cdh23(2of3)"	0.870777932625672	0.315356231438644	0.485603326788907	-1.7045264827416	0.0327889918883818
"cdh23(3of3)"	1.17004422069241	-1.51056267903163	0.316485746886436	-0.340648428983471	0.364681140436253
"ppp2r2b"	-0.780756477906088	0.312718531858793	1.11911891584353	0.630557334267252	-1.28163830406349
"kdm6b(2of2)"	1.18464306496594	-0.753552347132381	-0.995623203274132	-0.380367005126018	0.944899490566588
"sphk1(3of3)"	-1.62064736111047	-0.125722144708653	1.05296323415927	0.41211862320011	0.281287648459742
"sirt1"	1.04832276448355	-0.995680613517141	-0.717684901761487	-0.433450865915017	1.09849361671009
"fgf3"	-0.234843508975969	1.05388515450421	0.615128733128571	-1.56188365984632	0.127713281189516
"rps11"	-0.952064190571371	0.710527036689767	0.771152462422888	0.697949531977016	-1.2275648405183
"myo19"	0.972293881461257	-1.31235721436632	-0.604401001743798	-0.0381873362963279	0.982651670945186
"fgf17"	1.48162331606819	0.230620740565271	-0.372220426031954	-1.26801963818587	-0.0720039924156301
"rpl13"	-1.02949123186201	0.394748163018492	0.814046475982898	0.936402673728779	-1.11570608086816
"lect1(2of2)"	0.875837313574335	0.701407520525951	0.191453939212734	-0.129321505018698	-1.63937726829432
"rnaseh2a(1of2)"	0.932740114597967	-1.13415567429753	-0.832129671933955	-0.0387177627000056	1.07226299433352
"rnaseh2a(2of2)"	0.7479501731792	-1.18874461476013	-0.844746623578872	0.149033757483092	1.13650730767671
"rpl32"	-1.16599514719132	0.434383172184622	0.870504841072427	0.848252396648369	-0.987145262714099
"creb1(5of5)"	-0.700419899288351	0.445149252741017	0.878197654192794	0.771588655403274	-1.39451566304873
"prkab1(2of2)"	-1.11408401799791	0.993293258771781	0.658182243865084	0.504151795329334	-1.04154327996829
"slc1a2(3of3)"	0.679833980444144	0.597437083162946	-0.867354692081963	-1.28768040613962	0.877764034614497
"gabrb3(3of3)"	0.323604542425506	1.27680236874395	-1.11268489544337	-0.917675430546191	0.429953414820104
"c12orf65"	0.479785595134009	-1.52059375721935	-0.36901713498248	0.300176266322846	1.10964903074497
"setd1b(3of3)"	1.09545210440919	-0.445759695702901	-1.15953294358695	-0.495678709332625	1.00551924421329
"prdm2(2of2)"	-0.48853598282948	-0.781559056604687	0.115079850998288	1.68886366219423	-0.533848473758353
"hoxa7"	-0.497705420899226	0.585572389248713	0.806515428070456	0.638849137074236	-1.53323153349418
"trpc7(1of2)"	-1.03060915812892	0.927257030444875	0.626619737520101	0.618275955077229	-1.14154356491328
