"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"atp5f1",0.0123536828030262,0.000590248275528342,0.00391936167485556,0.00548573432349972,1.69048476643167e-07
"oaf",0.0110655150106866,0.00457113249423598,0.00520529559160081,3.29908901020682e-06,0.00384786226649359
"dusp3(2of2)",0.00165135026394933,0.00231783094789868,0.00614546446355445,0.00695483928261509,0.019287808468434
"usp30",0.00935825491335541,0.00151732702444204,0.0113710458568346,0.000792151666692357,0.00347420844686882
"swap70(3of3)",0.00113758542763996,0.00185679016287311,0.00955552199706971,0.00433462921139731,0.000686482619757425
"pnn",0.000206213640352355,0.0221203283868693,0.000689597296951858,0.000757109653771504,0.000673748950891266
"cd58",0.00473306208216367,0.00278026575640311,3.75697717622205e-06,0.00027961374445946,0.000240936841528756
"tyw5",0.00265141532568838,6.90341085967592e-05,0.000679266589172991,0.031389589099709,0.00694385887875298
"adarb1(3of3)",0.00252553792925263,0.0131046434785132,0.000142972135435126,0.019941478359872,0.00172107603920237
"hmgxb4(2of2)",0.000426375789770107,0.0178023509952373,0.000466419896612312,0.0148650017484026,0.000436339007335845
"unc13b(3of3)",0.00345115829566807,0.00697819509090485,0.00231462025785101,0.000369582245836236,0.00186233443529184
"tubgcp6",0.000212504339307671,0.0220271467605473,0.00493797880730377,0.00146649872331914,0.0123725708747983
"ptprb(3of3)",0.00148164016665362,0.00127468234553653,0.00181376529602724,0.000300647610342137,0.00868402232688807
"cxcr3(3of3)",0.00364268000298625,0.000791638049984685,0.00540253919454091,0.000130137140421387,2.27742437272183e-05
"gal3st1(1of2)",0.00169346828209078,0.00141731734105932,0.0097521432534277,9.25359536021047e-05,0.0145614523255648
"abtb2(2of2)",0.00373068311221692,0.00339928776491972,0.0109541478566869,0.00334241403678512,0.000579093409818219
"med26(2of2)",0.00575316876780836,0.00237239221925945,0.0169564578899988,0.00447306647072751,0.000856817574821727
"fbp1(1of2)",0.00648954471613222,0.00629605988138141,0.000146483245621522,0.0197182625256144,0.00209894027295177
"pitpnc1(3of3)",0.00200329900267528,6.75069528855457e-05,0.00488251225632635,0.0103850157022823,9.81001362314403e-07
"casp8(3of3)",0.00721827022912128,0.0025302034799539,9.79792206474467e-05,0.0200958931814473,2.07764518484638e-05
"hsd17b6(2of2)",0.0103234516122835,0.00530302337798108,0.000744737020745422,0.000851910168156632,0.000648872322676933
"cdkl1(1of2)",0.00864553577701954,0.00985784180257886,0.00216731740703625,0.000260599244061035,0.000843424855243233
"prss1(3of10)",0.00830892808918972,0.00159937484185469,0.000359065706120095,0.00017820592914326,0.00231041528628516
"gas1(1of3)",0.00879975773493774,0.0045854096898504,0.00164774374406293,0.000629408061273802,3.69046883748077e-05
"tpbg(2of4)",0.00266466552488074,0.0145252284737273,0.00250151935181328,0.000955819126795324,0.0014201655460124
"pbld(2of2)",0.00565106136836229,0.000343881499560427,0.000863779669066272,0.0032425531744512,0.00405351198311262
"slbp(2of2)",0.00639823885157599,0.00102741104310043,8.26451276354026e-05,0.00973535630371666,0.00397166179291211
"dlgap2(2of2)",0.0114988705537906,0.00044360797608133,0.00801349067290986,2.04349527951038e-05,1.42995907429374e-05
"tfdp1",0.0113270830699634,0.000555629267573959,0.00786606319872925,0.000740185911657119,0.000732931855967873
"ppp2r3a(1of2)",0.00552545177585163,0.00614439073191715,0.00129016162562811,0.00557174939776669,0.00215220326978242
"gabarapl1",0.00767497136935017,0.0028281367187056,0.00520469600029129,0.000773088855346051,0.010618672139549
"wnt3",0.00414303272443625,1.44612258069159e-05,0.00171816663923035,0.00137305937070381,0.000131340176272122
"rars",0.00559620764169413,0.000355100209529271,5.3651143288742e-05,0.0233713384212505,0.00106503972303428
"gclc",0.00162095162466619,0.00401608537599453,0.00619396882513845,0.0145506622984345,0.00809945217662337
"slc9a1(1of2)",0.000650447670305843,0.0122061295360434,0.00290247308517648,7.75872767879844e-06,0.00149556801488138
"slc25a46",0.0056964757355032,0.00243527334335004,0.00660089595402973,0.000960196879559257,0.00706463275994085
"sass6",0.000854589820453772,0.000987566830747993,0.00330518309145335,0.0104869662280719,0.00298197364888597
"rgs20(2of2)",0.0057478560511622,0.006927944289072,0.00195892715190915,0.00476031746529024,0.000494782341204031
"romo1",0.00837740740224718,3.28386548145742e-05,0.0103690652445229,0.00554882285395224,0.00194671247860274
