kegg_id	pathway_name	gene_id
04360	Axon guidance	l1cam(1of5)
04360	Axon guidance	l1cam(2of5)
04360	Axon guidance	l1cam(3of5)
04360	Axon guidance	l1cam(4of5)
04360	Axon guidance	l1cam(5of5)
04360	Axon guidance	ptpn11(1of2)
04360	Axon guidance	ptpn11(2of2)
04360	Axon guidance	sema3c
04360	Axon guidance	sema7a(1of3)
04360	Axon guidance	sema7a(2of3)
04360	Axon guidance	sema7a(3of3)
04360	Axon guidance	epha7(1of2)
04360	Axon guidance	epha7(2of2)
04360	Axon guidance	sema3d
04360	Axon guidance	rhoa(1of5)
04360	Axon guidance	rhoa(2of5)
04360	Axon guidance	rhoa(3of5)
04360	Axon guidance	rhoa(4of5)
04360	Axon guidance	rhoa(5of5)
04360	Axon guidance	fzd3(1of4)
04360	Axon guidance	fzd3(2of4)
04360	Axon guidance	fzd3(3of4)
04360	Axon guidance	fzd3(4of4)
04360	Axon guidance	pak6(1of2)
04360	Axon guidance	robo2(1of4)
04360	Axon guidance	robo2(2of4)
04360	Axon guidance	robo2(3of4)
04360	Axon guidance	robo2(4of4)
04360	Axon guidance	unc5d
04360	Axon guidance	arhgef12(1of2)
04360	Axon guidance	arhgef12(2of2)
04360	Axon guidance	pak3
04360	Axon guidance	plcg1(1of2)
04360	Axon guidance	plcg1(2of2)
04360	Axon guidance	ablim2
04360	Axon guidance	itgb1(1of3)
04360	Axon guidance	itgb1(2of3)
04360	Axon guidance	itgb1(3of3)
04360	Axon guidance	trpc1
04360	Axon guidance	pak4
04360	Axon guidance	pak6(2of2)
04360	Axon guidance	sema6d(1of3)
04360	Axon guidance	sema6d(2of3)
04360	Axon guidance	sema6d(3of3)
04360	Axon guidance	fyn(1of3)
04360	Axon guidance	fyn(2of3)
04360	Axon guidance	fyn(3of3)
04360	Axon guidance	sema3a(1of4)
04360	Axon guidance	sema3a(2of4)
04360	Axon guidance	sema3a(4of4)
04360	Axon guidance	cxcl12(1of2)
04360	Axon guidance	cxcl12(2of2)
04360	Axon guidance	ablim1(1of2)
04360	Axon guidance	ablim1(2of2)
04360	Axon guidance	pik3r2
04360	Axon guidance	epha6(1of5)
04360	Axon guidance	epha6(2of5)
04360	Axon guidance	epha6(3of5)
04360	Axon guidance	epha6(4of5)
04360	Axon guidance	epha6(5of5)
04360	Axon guidance	prkcz
04360	Axon guidance	ryk
04360	Axon guidance	plxna3
04360	Axon guidance	limk2
04360	Axon guidance	plxnc1
04360	Axon guidance	plxna1(1of2)
04360	Axon guidance	plxna1(2of2)
04360	Axon guidance	dpysl5(1of3)
04360	Axon guidance	dpysl5(2of3)
04360	Axon guidance	dpysl5(3of3)
04360	Axon guidance	boc
04360	Axon guidance	camk2d(1of3)
04360	Axon guidance	camk2d(2of3)
04360	Axon guidance	camk2d(3of3)
04360	Axon guidance	bmpr1b(1of2)
04360	Axon guidance	bmpr1b(2of2)
04360	Axon guidance	pik3cd
04360	Axon guidance	sema4c
04360	Axon guidance	lrrc4c(1of2)
04360	Axon guidance	lrrc4c(2of2)
04360	Axon guidance	efnb1
04360	Axon guidance	rac1
04360	Axon guidance	ssh1(1of2)
04360	Axon guidance	ssh1(2of2)
04360	Axon guidance	dcc(1of2)
04360	Axon guidance	dcc(2of2)
04360	Axon guidance	nfatc4
04360	Axon guidance	efna2(1of2)
04360	Axon guidance	efna2(2of2)
04360	Axon guidance	gnai1(1of3)
04360	Axon guidance	gnai1(2of3)
04360	Axon guidance	gnai1(3of3)
04360	Axon guidance	cdc42(1of4)
04360	Axon guidance	cdc42(2of4)
04360	Axon guidance	cdc42(3of4)
04360	Axon guidance	cdc42(4of4)
04360	Axon guidance	trpc5
04360	Axon guidance	gnai2(1of2)
04360	Axon guidance	gnai2(2of2)
04360	Axon guidance	fes
04360	Axon guidance	sema4f
04360	Axon guidance	sema4d(1of3)
04360	Axon guidance	sema4d(2of3)
04360	Axon guidance	sema4d(3of3)
04360	Axon guidance	wnt4(1of2)
04360	Axon guidance	wnt4(2of2)
04360	Axon guidance	ilk(1of2)
04360	Axon guidance	ilk(2of2)
04360	Axon guidance	mapk3
04360	Axon guidance	sema3g
04360	Axon guidance	pard6b
04360	Axon guidance	shh(1of2)
04360	Axon guidance	shh(2of2)
04360	Axon guidance	unc5c(1of2)
04360	Axon guidance	unc5c(2of2)
04360	Axon guidance	nck2
04360	Axon guidance	slit1(1of3)
04360	Axon guidance	slit1(2of3)
04360	Axon guidance	slit1(3of3)
04360	Axon guidance	ephb3(1of2)
