kegg_id	gene_id
04668	bag4
04668	lif
04668	jag1(1of2)
04668	jag1(2of2)
04668	creb3l2
04668	lta(1of2)
04668	tnfsf15(1of2)
04668	mapk13
04668	fadd(1of2)
04668	fadd(2of2)
04668	ptgs2
04668	jund(1of2)
04668	jun(1of2)
04668	jun(2of2)
04668	mapk10
04668	pik3r2
04668	creb5
04668	atf7(2of3)
04668	map2k4(1of2)
04668	map2k4(2of2)
04668	nfkbia(1of2)
04668	nfkbia(2of2)
04668	itch(1of2)
04668	itch(2of2)
04668	creb3l4
04668	pgam5
04668	akt3(1of2)
04668	akt3(2of2)
04668	ikbkg
04668	icam1
04668	mapk9
04668	traf3
04668	cflar
04668	fas
04668	pik3cd
04668	mapk8(1of2)
04668	mapk8(2of2)
04668	mlkl
04668	rps6ka4
04668	map3k14(1of2)
04668	map3k14(2of2)
04668	ikbkb
04668	tab1
04668	vegfc(1of2)
04668	vegfc(2of2)
04668	ripk1
04668	traf2(1of3)
04668	traf2(2of3)
04668	traf2(3of3)
04668	mapk12(1of3)
04668	mapk12(2of3)
04668	mapk12(3of3)
04668	mmp14(1of2)
04668	mmp14(2of2)
04668	nfkb1
04668	vcam1(1of2)
04668	vcam1(2of2)
04668	tradd
04668	map2k1
04668	bcl3
04668	rps6ka5
04668	creb1(1of5)
04668	creb1(2of5)
04668	creb1(3of5)
04668	creb1(4of5)
04668	creb1(5of5)
04668	tab3
04668	csf1
04668	chuk(1of3)
04668	chuk(2of3)
04668	chuk(3of3)
04668	pik3r3(1of2)
04668	pik3r3(2of2)
04668	map3k7
04668	rela
04668	birc2
04668	akt2
04668	mapk3
04668	akt1
04668	casp7(1of2)
04668	junb(1of2)
04668	junb(2of2)
04668	pik3r1(1of2)
04668	pik3r1(2of2)
04668	map2k7
04668	il1b
04668	cxcl10(1of3)
04668	cxcl10(2of3)
04668	cxcl10(3of3)
04668	map3k8
04668	socs3
04668	mapk11
04610	c8a
04610	vtn(1of2)
04610	vtn(2of2)
04610	cfb(1of4)
04610	cfb(2of4)
04610	cfb(3of4)
04610	cfb(4of4)
04610	fgg
04610	f2
04610	cfd
04610	hc
04610	serpina1(1of2)
04610	serpina1(2of2)
04610	c6(1of2)
04610	c6(2of2)
04610	c5ar1(1of2)
04610	cfi
04610	c1r
04610	plg
04610	fga
04610	masp1(1of2)
04610	masp1(2of2)
04610	masp2
04610	bdkrb2(1of4)
04610	bdkrb2(2of4)
04610	bdkrb2(3of4)
04610	bdkrb2(4of4)
04610	vwf
04610	c4b
04610	pros1
04610	c3(1of4)
04610	c3(2of4)
04610	c3(3of4)
04610	c3(4of4)
04610	f10(1of3)
04610	f10(2of3)
04610	fgb
04610	serpinf2
04610	f3(1of2)
04610	f3(2of2)
04610	f13a1(1of2)
04610	f13a1(2of2)
04610	plaur(1of6)
04610	plaur(2of6)
04610	plaur(3of6)
04610	plaur(4of6)
04610	plaur(5of6)
04610	plaur(6of6)
04610	f7(1of2)
04610	f7(2of2)
04610	f11
04610	tfpi
04610	f5
04610	c7(1of2)
04610	c7(2of2)
04610	c1qc(1of2)
04610	c1qc(2of2)
04610	f8
04610	f2rl2(1of3)
04610	f2rl2(2of3)
04610	f2rl2(3of3)
04610	f2rl3
04610	proc
04610	clu
04610	plau
04610	itgb2
04610	a2m
04610	serping1
04610	c1qa
04610	itgax(1of3)
04610	itgax(2of3)
04610	itgax(3of3)
04610	serpind1
04610	cfh(1of5)
04610	cfh(2of5)
04610	cfh(4of5)
04610	cfh(5of5)
04610	c8g
04610	c8b
04610	cd59(2of3)
04610	cd59(3of3)
04610	kng1(1of2)
04610	kng1(2of2)
04610	f2r(1of2)
