id,b_D3d,b_D6d,b_D1m,b_NonD,GO
p2ry6,UP,UP,UP,NonDE,.
p3h1,NonDE,NonDE,NonDE,NonDE,.
p3h2(2of2),NonDE,NonDE,NonDE,NonDE,.
p3h3,NonDE,NonDE,NonDE,NonDE,.
p3h4,DN,DN,NonDE,NonDE,.
p4ha1(1of2),NonDE,NonDE,NonDE,NonDE,.
p4ha1(2of2),NonDE,NonDE,NonDE,NonDE,.
p4ha2,UP,UP,UP,NonDE,.
p4hb(2of2),DN,DN,NonDE,NonDE,.
p4htm(1of2),NonDE,NonDE,NonDE,NonDE,.
p4htm(2of2),NonDE,UP,UP,NonDE,.
pa2g4(1of2),DN,DN,NonDE,NonDE,.
pa2g4(2of2),NonDE,NonDE,NonDE,NonDE,.
pabpc1(1of3),NonDE,NonDE,NonDE,NonDE,.
pabpc1(2of3),UP,UP,UP,NonDE,.
pabpc4,UP,UP,UP,NonDE,.
pabpc6,NonDE,NonDE,NonDE,NonDE,.
pabpn1(1of2),DN,DN,DN,NonDE,.
pabpn1(2of2),DN,NonDE,DN,NonDE,.
pacrg,NonDE,NonDE,NonDE,NonDE,.
pacs1(1of2),NonDE,NonDE,NonDE,NonDE,.
pacs1(2of2),NonDE,NonDE,NonDE,NonDE,.
pacs2,NonDE,NonDE,NonDE,NonDE,.
pacsin1(1of2),NonDE,NonDE,NonDE,NonDE,.
pacsin1(2of2),NonDE,NonDE,NonDE,NonDE,.
pacsin2,NonDE,NonDE,NonDE,NonDE,.
pacsin3(1of3),UP,UP,UP,NonDE,.
pacsin3(2of3),NonDE,NonDE,NonDE,UP,.
pacsin3(3of3),UP,UP,NonDE,NonDE,.
padi2(2of2),NonDE,NonDE,DN,NonDE,.
paf1,NonDE,NonDE,NonDE,NonDE,.
pafah1b1(1of2),NonDE,NonDE,NonDE,NonDE,.
pafah1b1(2of2),NonDE,UP,UP,NonDE,.
pafah1b2,DN,NonDE,NonDE,NonDE,.
pafah1b3,NonDE,NonDE,DN,NonDE,.
pag1,NonDE,NonDE,NonDE,NonDE,.
pagr1,NonDE,DN,NonDE,NonDE,.
pah,NonDE,NonDE,NonDE,NonDE,.
paics,NonDE,UP,NonDE,NonDE,.
paip1,NonDE,NonDE,NonDE,NonDE,.
paip2b(1of2),NonDE,UP,UP,NonDE,.
paip2b(2of2),UP,UP,UP,NonDE,.
pak1,DN,DN,NonDE,NonDE,.
pak1ip1,NonDE,NonDE,NonDE,NonDE,.
pak2(1of2),DN,DN,DN,NonDE,.
pak2(2of2),NonDE,NonDE,NonDE,NonDE,.
pak3,NonDE,NonDE,NonDE,NonDE,.
pak4,NonDE,NonDE,UP,NonDE,.
pak6(1of2),UP,UP,UP,UP,.
pak6(2of2),NonDE,DN,DN,NonDE,.
palb2,DN,DN,DN,NonDE,.
pald1,NonDE,NonDE,DN,NonDE,.
palm(1of2),NonDE,NonDE,NonDE,NonDE,.
palm(2of2),UP,UP,UP,NonDE,.
palm3,NonDE,UP,UP,NonDE,.
pam,NonDE,NonDE,NonDE,NonDE,.
pamr1,UP,NonDE,NonDE,NonDE,.
pan2,NonDE,NonDE,NonDE,NonDE,.
pan3,NonDE,NonDE,NonDE,NonDE,.
pank1,UP,UP,NonDE,NonDE,.
pank2,NonDE,NonDE,NonDE,NonDE,.
pank4,UP,UP,UP,NonDE,.
panx1(1of2),NonDE,NonDE,NonDE,NonDE,.
panx1(2of2),NonDE,UP,NonDE,NonDE,.
panx3,NonDE,NonDE,DN,NonDE,.
paox(1of2),DN,NonDE,NonDE,NonDE,.
paox(2of2),NonDE,NonDE,NonDE,NonDE,.
papd4,NonDE,DN,NonDE,NonDE,.
papd5,NonDE,NonDE,NonDE,NonDE,.
papd7(1of2),DN,DN,DN,NonDE,.
papd7(2of2),DN,DN,NonDE,NonDE,.
papl,UP,UP,UP,NonDE,.
papln(1of6),NonDE,NonDE,NonDE,NonDE,.
papln(5of6),DN,DN,DN,NonDE,.
papln(6of6),NonDE,NonDE,NonDE,NonDE,.
papolg,NonDE,NonDE,NonDE,NonDE,.
pappa,NonDE,NonDE,NonDE,NonDE,.
pappa2(1of2),NonDE,NonDE,NonDE,NonDE,.
pappa2(2of2),NonDE,NonDE,DN,NonDE,.
papss1,DN,DN,DN,NonDE,.
papss2,DN,DN,DN,NonDE,.
paqr3(1of2),NonDE,NonDE,UP,NonDE,.
paqr3(2of2),NonDE,NonDE,UP,NonDE,.
paqr6,UP,UP,UP,NonDE,.
paqr8(1of2),NonDE,NonDE,NonDE,NonDE,.
pard3(1of3),NonDE,NonDE,NonDE,NonDE,.
pard3(2of3),NonDE,NonDE,NonDE,NonDE,.
pard3(3of3),NonDE,NonDE,NonDE,NonDE,.
pard3b(1of3),NonDE,NonDE,NonDE,NonDE,.
pard3b(2of3),NonDE,NonDE,NonDE,NonDE,.
pard3b(3of3),NonDE,NonDE,NonDE,UP,.
pard6a,UP,NonDE,NonDE,NonDE,.
pard6b,NonDE,UP,NonDE,NonDE,.
pard6g,NonDE,NonDE,NonDE,NonDE,.
parg(1of3),NonDE,NonDE,NonDE,NonDE,.
parg(2of3),UP,UP,UP,NonDE,.
park2,UP,UP,UP,NonDE,.
park7,NonDE,NonDE,NonDE,NonDE,.
parl(1of2),DN,NonDE,NonDE,NonDE,.
parl(2of2),DN,DN,NonDE,NonDE,.
parm1,NonDE,NonDE,NonDE,NonDE,.
parn,DN,DN,DN,NonDE,.
parp1,DN,DN,DN,NonDE,.
parp10(1of2),NonDE,NonDE,NonDE,NonDE,.
parp10(2of2),UP,UP,UP,NonDE,.
parp11(1of2),NonDE,NonDE,UP,NonDE,.
parp11(2of2),NonDE,NonDE,NonDE,NonDE,.
parp12(2of3),UP,UP,UP,NonDE,.
parp12(3of3),UP,UP,UP,NonDE,.
parp14(1of5),NonDE,NonDE,NonDE,NonDE,.
parp16,NonDE,UP,NonDE,NonDE,.
parp2,NonDE,NonDE,NonDE,NonDE,.
PARP3,DN,DN,DN,NonDE,.
parp4,NonDE,NonDE,NonDE,NonDE,.
parp9,UP,UP,UP,NonDE,.
pars2,NonDE,NonDE,NonDE,NonDE,.
parva,NonDE,NonDE,NonDE,NonDE,.
parvb,NonDE,NonDE,NonDE,NonDE,.
parvg,NonDE,NonDE,DN,NonDE,.
pask,DN,NonDE,NonDE,NonDE,.
patl1,NonDE,NonDE,NonDE,NonDE,.
patz1,UP,UP,UP,NonDE,.
pawr,UP,UP,UP,NonDE,.
pax1,NonDE,DN,DN,NonDE,.
pax2(1of2),NonDE,DN,DN,NonDE,.
pax2(2of2),NonDE,NonDE,NonDE,NonDE,.
pax3(1of2),NonDE,NonDE,DN,NonDE,.
pax3(2of2),NonDE,NonDE,DN,NonDE,.
pax5,NonDE,NonDE,NonDE,NonDE,.
pax6(2of4),NonDE,NonDE,NonDE,NonDE,.
pax6(3of4),NonDE,NonDE,NonDE,UP,.
pax6(4of4),DN,DN,DN,NonDE,.
pax7,NonDE,DN,DN,NonDE,.
pax8,NonDE,NonDE,NonDE,NonDE,.
pax9,NonDE,NonDE,NonDE,NonDE,.
paxbp1,NonDE,NonDE,NonDE,NonDE,.
paxip1,NonDE,NonDE,NonDE,NonDE,.
pbdc1,NonDE,NonDE,NonDE,NonDE,.
pbk,DN,DN,DN,NonDE,.
pbld(1of2),UP,UP,UP,NonDE,.
pbld(2of2),NonDE,NonDE,NonDE,NonDE,.
pbrm1(1of2),DN,DN,DN,NonDE,.
pbrm1(2of2),NonDE,NonDE,DN,NonDE,.
pbx1(1of3),NonDE,NonDE,DN,NonDE,.
pbx1(2of3),NonDE,NonDE,NonDE,NonDE,.
pbx1(3of3),NonDE,DN,DN,NonDE,.
pbx2,NonDE,NonDE,NonDE,NonDE,.
pbx3,NonDE,NonDE,NonDE,NonDE,.
pbxip1(1of2),NonDE,NonDE,NonDE,NonDE,.
pbxip1(2of2),UP,UP,UP,NonDE,.
pc,NonDE,NonDE,DN,NonDE,.
pcbd1,UP,UP,UP,NonDE,.
pcbd2,DN,NonDE,NonDE,NonDE,.
pcbp2(1of2),NonDE,NonDE,NonDE,NonDE,.
pcbp2(2of2),NonDE,NonDE,NonDE,NonDE,.
pcbp3(1of3),UP,UP,UP,NonDE,.
pcbp3(3of3),NonDE,NonDE,NonDE,NonDE,.
pcbp4(1of2),NonDE,NonDE,NonDE,NonDE,.
pcbp4(2of2),NonDE,NonDE,NonDE,NonDE,.
pcca,DN,NonDE,NonDE,NonDE,.
pccb,NonDE,NonDE,NonDE,NonDE,.
pcdh1(1of2),NonDE,NonDE,NonDE,DN,.
pcdh10(3of10),NonDE,NonDE,NonDE,NonDE,.
pcdh10(4of10),NonDE,NonDE,NonDE,NonDE,.
pcdh10(5of10),DN,DN,DN,NonDE,.
pcdh10(7of10),DN,DN,DN,NonDE,.
pcdh12,DN,DN,DN,NonDE,.
pcdh15(1of4),NonDE,NonDE,NonDE,NonDE,.
pcdh17(1of2),DN,DN,DN,NonDE,.
pcdh17(2of2),NonDE,NonDE,NonDE,NonDE,.
pcdh18(1of2),NonDE,NonDE,DN,NonDE,.
pcdh18(2of2),NonDE,NonDE,NonDE,NonDE,.
pcdh19,NonDE,DN,DN,NonDE,.
pcdh7(1of2),NonDE,NonDE,DN,NonDE,.
pcdh7(2of2),NonDE,NonDE,DN,NonDE,.
pcdh8(1of3),DN,DN,DN,DN,.
pcdh8(2of3),DN,DN,DN,DN,.
pcdh8(3of3),NonDE,NonDE,DN,NonDE,.
pcdha1,NonDE,NonDE,NonDE,NonDE,.
pcdha2(2of2),NonDE,NonDE,DN,NonDE,.
pcdha3(1of5),UP,UP,NonDE,UP,.
pcdha8(2of6),NonDE,NonDE,NonDE,NonDE,.
pcdha8(6of6),NonDE,NonDE,NonDE,NonDE,.
pcdhac2(1of5),NonDE,NonDE,NonDE,UP,.
pcdhac2(3of5),NonDE,DN,DN,NonDE,.
pcdhb16(1of3),NonDE,NonDE,NonDE,NonDE,.
pcdhb16(2of3),NonDE,NonDE,NonDE,NonDE,.
pcdhb16(3of3),NonDE,NonDE,DN,UP,.
pcdhga10(12of15),NonDE,NonDE,NonDE,NonDE,.
pcdhga10(13of15),NonDE,NonDE,NonDE,NonDE,.
pcdhga10(14of15),NonDE,NonDE,NonDE,NonDE,.
pcdhga10(1of15),NonDE,NonDE,NonDE,NonDE,.
pcdhga10(3of15),NonDE,NonDE,NonDE,NonDE,.
pcdhga10(4of15),NonDE,NonDE,NonDE,NonDE,.
pcdhga10(5of15),NonDE,NonDE,NonDE,NonDE,.
pcdhga10(6of15),NonDE,NonDE,NonDE,NonDE,.
pcdhga10(7of15),NonDE,NonDE,DN,NonDE,.
pcdhga11,NonDE,NonDE,NonDE,NonDE,.
pcdhga2(1of3),NonDE,NonDE,DN,NonDE,.
pcdhga2(2of3),NonDE,NonDE,NonDE,NonDE,.
pcdhga2(3of3),NonDE,NonDE,DN,NonDE,.
pcdhga7(10of10),NonDE,NonDE,NonDE,NonDE,.
pcdhga7(2of10),NonDE,NonDE,NonDE,NonDE,.
pcdhga7(6of10),NonDE,NonDE,NonDE,NonDE,.
pcdhga7(7of10),NonDE,NonDE,DN,NonDE,.
pcdhga8(1of2),NonDE,NonDE,NonDE,NonDE,.
pcdhgb8,UP,NonDE,NonDE,NonDE,.
pcdhgc3(1of2),NonDE,NonDE,NonDE,NonDE,.
pcdhgc3(2of2),NonDE,NonDE,NonDE,NonDE,.
pcdhgc4,NonDE,NonDE,NonDE,NonDE,.
pcdhgc5(1of5),NonDE,NonDE,NonDE,NonDE,.
pcdhgc5(3of5),NonDE,NonDE,DN,NonDE,.
pcdhgc5(4of5),NonDE,NonDE,NonDE,NonDE,.
pcdhgc5(5of5),NonDE,NonDE,DN,NonDE,.
pcf11,NonDE,NonDE,NonDE,NonDE,.
pcgf1,NonDE,NonDE,NonDE,NonDE,.
pcgf2,NonDE,NonDE,NonDE,NonDE,.
pcgf3,NonDE,NonDE,NonDE,NonDE,.
pcgf5,UP,UP,UP,NonDE,.
pcgf6,DN,DN,NonDE,NonDE,.
pcid2,NonDE,NonDE,UP,NonDE,.
pcif1,NonDE,NonDE,NonDE,NonDE,.
pck1(1of2),DN,DN,DN,UP,.
pcm1,NonDE,NonDE,UP,NonDE,.
pcmt1(1of2),NonDE,UP,UP,NonDE,.
pcmt1(2of2),NonDE,NonDE,NonDE,NonDE,.
pcmtd1,UP,UP,UP,NonDE,.
pcmtd2,UP,UP,UP,NonDE,.
pcna,DN,DN,DN,NonDE,.
pcnp,NonDE,NonDE,NonDE,NonDE,.
pcnx,NonDE,NonDE,NonDE,NonDE,.
pcnxl2,NonDE,NonDE,NonDE,NonDE,.
pcnxl3,NonDE,NonDE,NonDE,NonDE,.
pcnxl4,NonDE,DN,NonDE,NonDE,.
pcolce2(1of3),NonDE,DN,NonDE,NonDE,.
pcp4,NonDE,NonDE,NonDE,NonDE,.
pcsk1,NonDE,NonDE,NonDE,NonDE,.
pcsk2,UP,NonDE,NonDE,NonDE,.
pcsk5(4of5),NonDE,NonDE,NonDE,NonDE,.
pcsk5(5of5),NonDE,NonDE,NonDE,NonDE,.
pcsk7(1of2),NonDE,NonDE,NonDE,NonDE,.
pctp,NonDE,NonDE,NonDE,NonDE,.
pcyox1,NonDE,NonDE,NonDE,NonDE,.
pcyox1l,DN,DN,DN,NonDE,.
pcyt1a,NonDE,NonDE,NonDE,NonDE,.
pcyt1b(1of2),NonDE,NonDE,NonDE,NonDE,.
pcyt2,NonDE,UP,UP,NonDE,.
pdap1(1of2),DN,DN,NonDE,UP,.
pdap1(2of2),DN,DN,DN,NonDE,.
pdcd10,NonDE,NonDE,NonDE,NonDE,.
pdcd11,NonDE,NonDE,NonDE,NonDE,.
pdcd2,DN,DN,DN,NonDE,.
pdcd2l,NonDE,NonDE,NonDE,NonDE,.
pdcd4(1of2),UP,UP,NonDE,NonDE,.
pdcd4(2of2),NonDE,UP,UP,NonDE,.
pdcd5,NonDE,NonDE,NonDE,NonDE,.
pdcd6,NonDE,NonDE,DN,NonDE,.
pdcd6ip,NonDE,NonDE,NonDE,NonDE,.
pdcd7,NonDE,NonDE,NonDE,NonDE,.
pdcl,NonDE,NonDE,NonDE,NonDE,.
pdcl3,UP,UP,UP,NonDE,.
pddc1,DN,DN,DN,NonDE,.
pde10a,NonDE,NonDE,NonDE,NonDE,.
pde12,DN,DN,NonDE,NonDE,.
pde1b,UP,UP,UP,NonDE,.
pde1c(1of2),NonDE,NonDE,NonDE,NonDE,.
pde1c(2of2),UP,UP,UP,NonDE,.
pde2a,NonDE,NonDE,NonDE,NonDE,.
pde3a(2of2),NonDE,NonDE,NonDE,NonDE,.
pde3b,UP,UP,UP,NonDE,.
pde4a,NonDE,DN,DN,NonDE,.
pde4b(1of4),NonDE,NonDE,NonDE,NonDE,.
pde4b(2of4),NonDE,NonDE,NonDE,NonDE,.
pde4b(4of4),UP,UP,NonDE,NonDE,.
pde4d(1of3),UP,UP,NonDE,NonDE,.
pde4d(2of3),NonDE,NonDE,NonDE,NonDE,.
pde4d(3of3),NonDE,NonDE,UP,NonDE,.
pde4dip(1of3),NonDE,NonDE,DN,NonDE,.
pde4dip(2of3),NonDE,NonDE,NonDE,NonDE,.
pde4dip(3of3),UP,NonDE,NonDE,NonDE,.
pde5a(2of2),NonDE,NonDE,NonDE,NonDE,.
pde6d,NonDE,NonDE,NonDE,NonDE,.
pde7a,NonDE,NonDE,NonDE,NonDE,.
pde8a,NonDE,NonDE,NonDE,NonDE,.
pde8b,NonDE,DN,NonDE,NonDE,.
pdf,NonDE,NonDE,DN,NonDE,.
pdgfa(1of2),NonDE,DN,DN,NonDE,.
pdgfa(2of2),NonDE,NonDE,DN,NonDE,.
pdgfb(1of2),NonDE,NonDE,DN,NonDE,.
pdgfb(2of2),NonDE,NonDE,NonDE,NonDE,.
pdgfc,NonDE,DN,DN,NonDE,.
pdgfra,NonDE,NonDE,NonDE,NonDE,.
pdgfrb,NonDE,DN,DN,NonDE,.
pdgfrl,NonDE,NonDE,NonDE,NonDE,.
pdha1(1of2),NonDE,NonDE,NonDE,NonDE,.
pdha1(2of2),NonDE,NonDE,NonDE,NonDE,.
pdhb,NonDE,NonDE,NonDE,NonDE,.
pdhx,NonDE,NonDE,NonDE,NonDE,.
pdia2,UP,UP,NonDE,UP,.
pdia3(1of2),DN,DN,NonDE,NonDE,.
pdia3(2of2),DN,DN,DN,NonDE,.
pdia4,DN,DN,DN,NonDE,.
pdia5,DN,DN,DN,NonDE,.
pdia6,NonDE,NonDE,NonDE,NonDE,.
pdik1l,NonDE,NonDE,NonDE,NonDE,.
pdk1,UP,UP,UP,NonDE,.
pdk2(1of2),NonDE,NonDE,DN,NonDE,.
pdk2(2of2),UP,UP,UP,NonDE,.
pdk3,NonDE,NonDE,NonDE,NonDE,.
pdlim1,NonDE,NonDE,NonDE,NonDE,.
pdlim2,UP,UP,UP,NonDE,.
pdlim3(1of2),NonDE,NonDE,NonDE,NonDE,.
pdlim4,UP,UP,NonDE,NonDE,.
pdlim5(1of2),UP,UP,UP,NonDE,.
pdlim5(2of2),NonDE,NonDE,NonDE,NonDE,.
pdlim7(1of2),NonDE,NonDE,NonDE,NonDE,.
pdlim7(2of2),NonDE,UP,UP,NonDE,.
pdp1(1of3),UP,UP,UP,NonDE,.
pdp1(2of3),NonDE,NonDE,UP,NonDE,.
pdpk1,NonDE,NonDE,NonDE,NonDE,.
pdpn,NonDE,NonDE,DN,NonDE,.
pdpr,NonDE,NonDE,NonDE,NonDE,.
pdrg1,NonDE,UP,UP,NonDE,.
pds5a,DN,DN,DN,NonDE,.
pds5b,NonDE,NonDE,NonDE,NonDE,.
pdss1,DN,DN,DN,NonDE,.
pdss2,DN,DN,DN,NonDE,.
pdx1,NonDE,NonDE,DN,NonDE,.
pdxdc1,NonDE,NonDE,NonDE,NonDE,.
pdxk(1of2),DN,DN,NonDE,NonDE,.
pdxk(2of2),DN,DN,DN,NonDE,.
pdxp,NonDE,NonDE,NonDE,NonDE,.
pdzd11,NonDE,NonDE,NonDE,NonDE,.
pdzd2(1of2),NonDE,NonDE,NonDE,NonDE,.
pdzd2(2of2),NonDE,NonDE,UP,NonDE,.
pdzd3(1of2),NonDE,NonDE,NonDE,NonDE,.
pdzd3(2of2),DN,NonDE,DN,NonDE,.
pdzd4(1of3),UP,UP,UP,NonDE,.
pdzd8,DN,DN,DN,NonDE,.
pdzk1,UP,UP,UP,UP,.
pdzrn3,NonDE,NonDE,NonDE,NonDE,.
pdzrn4(1of2),NonDE,NonDE,DN,NonDE,.
pea15,NonDE,NonDE,NonDE,NonDE,.
peak1(2of2),NonDE,UP,UP,NonDE,.
pebp1,NonDE,NonDE,NonDE,NonDE,.
pebp4,NonDE,UP,NonDE,NonDE,.
pecam1(1of2),UP,UP,NonDE,NonDE,.
pecam1(2of2),NonDE,NonDE,NonDE,NonDE,.
pecr(1of2),NonDE,NonDE,NonDE,NonDE,.
pecr(2of2),DN,DN,NonDE,NonDE,.
peli1(1of3),UP,UP,NonDE,NonDE,.
peli1(2of3),UP,UP,UP,NonDE,.
peli1(3of3),NonDE,NonDE,NonDE,NonDE,.
peli2(1of2),NonDE,NonDE,NonDE,NonDE,.
peli2(2of2),NonDE,NonDE,NonDE,NonDE,.
pelo,DN,DN,DN,NonDE,.
pelp1,NonDE,NonDE,NonDE,NonDE,.
pemt,UP,UP,UP,NonDE,.
peo1,DN,DN,DN,NonDE,.
pepd,NonDE,NonDE,NonDE,NonDE,.
per1,UP,UP,UP,NonDE,.
per2(1of2),NonDE,NonDE,NonDE,DN,.
per2(2of2),NonDE,UP,UP,NonDE,.
per3,NonDE,UP,NonDE,NonDE,.
perp,NonDE,NonDE,NonDE,NonDE,.
pes1,NonDE,NonDE,NonDE,NonDE,.
pet100,NonDE,NonDE,NonDE,NonDE,.
pet117,NonDE,NonDE,NonDE,NonDE,.
pex1,NonDE,NonDE,NonDE,NonDE,.
pex10,NonDE,NonDE,NonDE,NonDE,.
pex11a,UP,UP,UP,NonDE,.
pex11b,NonDE,NonDE,NonDE,NonDE,.
pex11g,NonDE,NonDE,NonDE,NonDE,.
pex12,DN,DN,DN,NonDE,.
pex13,NonDE,NonDE,NonDE,NonDE,.
pex14,NonDE,NonDE,NonDE,NonDE,.
pex16,NonDE,NonDE,NonDE,NonDE,.
pex19,NonDE,NonDE,NonDE,NonDE,.
pex2,NonDE,NonDE,NonDE,NonDE,.
pex26,NonDE,NonDE,NonDE,NonDE,.
pex3,DN,DN,DN,NonDE,.
pex5,NonDE,NonDE,NonDE,NonDE,.
pex5l(2of2),NonDE,NonDE,NonDE,NonDE,.
pex6,NonDE,NonDE,NonDE,NonDE,.
pex7,NonDE,NonDE,NonDE,NonDE,.
pfas,NonDE,NonDE,NonDE,NonDE,.
pfdn1,DN,DN,DN,NonDE,.
pfdn2,NonDE,NonDE,NonDE,NonDE,.
pfdn4,DN,NonDE,NonDE,NonDE,.
pfdn5,DN,NonDE,NonDE,NonDE,.
pfdn6,NonDE,NonDE,NonDE,NonDE,.
pfkfb2(2of2),NonDE,NonDE,UP,NonDE,.
pfkfb3,DN,DN,DN,NonDE,.
pfkfb4(1of2),UP,UP,UP,NonDE,.
pfkfb4(2of2),UP,UP,NonDE,NonDE,.
pfkl,NonDE,NonDE,NonDE,NonDE,.
pfkm(1of2),UP,UP,NonDE,NonDE,.
pfkp(2of2),DN,DN,DN,NonDE,.
pfn2(1of4),NonDE,NonDE,NonDE,NonDE,.
pfn2(2of4),NonDE,NonDE,NonDE,NonDE,.
pfn2(3of4),NonDE,NonDE,NonDE,UP,.
pgam1(1of2),DN,DN,DN,NonDE,.
pgam1(2of2),DN,DN,DN,NonDE,.
pgam2,NonDE,NonDE,NonDE,NonDE,.
pgam5,NonDE,NonDE,NonDE,NonDE,.
pgap1,NonDE,NonDE,NonDE,NonDE,.
pgap2(1of2),DN,DN,NonDE,NonDE,.
pgap3,NonDE,UP,UP,NonDE,.
pgbd2(1of2),NonDE,UP,UP,NonDE,.
pgbd4(11of12),NonDE,NonDE,NonDE,NonDE,.
pgbd4(12of12),NonDE,NonDE,NonDE,NonDE,.
pgbd4(1of12),NonDE,NonDE,NonDE,NonDE,.
pgbd4(3of12),NonDE,NonDE,NonDE,NonDE,.
pgbd4(4of12),NonDE,UP,UP,NonDE,.
pgbd4(6of12),NonDE,NonDE,NonDE,NonDE,.
pgbd4(7of12),NonDE,NonDE,NonDE,NonDE,.
pgbd4(8of12),UP,UP,UP,NonDE,.
pgbd5(2of4),NonDE,NonDE,NonDE,DN,.
pgbd5(4of4),DN,DN,NonDE,NonDE,.
pgd,NonDE,NonDE,NonDE,NonDE,.
pgf(1of2),NonDE,NonDE,DN,NonDE,.
pggt1b,DN,DN,DN,NonDE,.
pgk1,NonDE,NonDE,NonDE,NonDE,.
pgls,NonDE,NonDE,NonDE,NonDE,.
pglyrp1,NonDE,NonDE,NonDE,NonDE,.
pglyrp2,UP,UP,NonDE,NonDE,.
pgm1(1of2),UP,UP,UP,NonDE,.
pgm2,DN,DN,DN,NonDE,.
pgm2l1,DN,DN,NonDE,NonDE,.
pgm3,DN,DN,DN,NonDE,.
pgm5,NonDE,NonDE,NonDE,NonDE,.
pgp,DN,DN,NonDE,NonDE,.
pgpep1,NonDE,DN,DN,NonDE,.
pgrmc1,NonDE,NonDE,DN,NonDE,.
pgrmc2,DN,NonDE,DN,NonDE,.
pgs1,NonDE,NonDE,NonDE,NonDE,.
phactr1(1of2),UP,UP,UP,NonDE,.
phactr2(1of3),NonDE,NonDE,NonDE,NonDE,.
phactr2(2of3),UP,UP,NonDE,NonDE,.
phactr2(3of3),NonDE,NonDE,NonDE,NonDE,.
phactr3(1of2),NonDE,NonDE,NonDE,DN,.
phactr3(2of2),NonDE,NonDE,NonDE,NonDE,.
phax,NonDE,NonDE,NonDE,NonDE,.
phb,DN,NonDE,NonDE,NonDE,.
phb2,NonDE,NonDE,NonDE,NonDE,.
phc1(2of3),NonDE,NonDE,NonDE,NonDE,.
phc1(3of3),NonDE,NonDE,NonDE,NonDE,.
phc2(1of2),NonDE,NonDE,NonDE,NonDE,.
phc2(2of2),NonDE,NonDE,NonDE,NonDE,.
phc3,NonDE,NonDE,UP,NonDE,.
phex,NonDE,NonDE,NonDE,NonDE,.
phf1,UP,UP,UP,NonDE,.
phf10,NonDE,DN,DN,NonDE,.
phf12,NonDE,NonDE,NonDE,NonDE,.
phf13(1of2),NonDE,NonDE,NonDE,NonDE,.
phf13(2of2),NonDE,NonDE,NonDE,NonDE,.
phf14,NonDE,NonDE,NonDE,NonDE,.
phf19,DN,DN,DN,NonDE,.
phf2(2of2),NonDE,NonDE,NonDE,NonDE,.
phf20(1of2),NonDE,DN,DN,NonDE,.
phf20(2of2),NonDE,NonDE,UP,NonDE,.
phf21a,DN,DN,NonDE,NonDE,.
phf21b,NonDE,NonDE,NonDE,NonDE,.
phf3,NonDE,NonDE,NonDE,NonDE,.
phf5a,DN,DN,DN,NonDE,.
phf6(1of2),NonDE,NonDE,NonDE,NonDE,.
phf6(2of2),DN,DN,NonDE,NonDE,.
phf8,NonDE,NonDE,NonDE,NonDE,.
phgdh,DN,DN,DN,NonDE,.
phip,NonDE,NonDE,NonDE,NonDE,.
phka1,NonDE,NonDE,NonDE,NonDE,.
phkb,NonDE,NonDE,NonDE,NonDE,.
phkg2,DN,NonDE,DN,NonDE,.
phlda1,NonDE,NonDE,NonDE,NonDE,.
phlda2,NonDE,NonDE,NonDE,NonDE,.
phlda3,UP,UP,NonDE,NonDE,.
phldb1(1of2),NonDE,NonDE,NonDE,NonDE,.
phldb1(2of2),NonDE,NonDE,NonDE,DN,.
phldb2(1of2),NonDE,NonDE,NonDE,NonDE,.
phldb2(2of2),NonDE,DN,DN,UP,.
phldb3,UP,UP,UP,NonDE,.
phlpp1(1of2),NonDE,NonDE,NonDE,NonDE,.
phlpp1(2of2),NonDE,NonDE,NonDE,NonDE,.
phlpp2,UP,UP,UP,DN,.
phospho1(1of2),NonDE,NonDE,NonDE,NonDE,.
phospho1(2of2),DN,NonDE,NonDE,NonDE,.
phospho2,DN,DN,DN,NonDE,.
phox2a,NonDE,DN,DN,NonDE,.
phox2b,NonDE,NonDE,DN,UP,.
phpt1(1of2),DN,DN,DN,NonDE,.
phpt1(2of2),NonDE,NonDE,NonDE,NonDE,.
phrf1,DN,NonDE,NonDE,NonDE,.
phtf2(1of2),NonDE,NonDE,NonDE,NonDE,.
phtf2(2of2),DN,DN,DN,NonDE,.
phyh,NonDE,NonDE,NonDE,NonDE,.
phyhipl(1of2),NonDE,UP,NonDE,UP,.
phykpl,NonDE,NonDE,NonDE,NonDE,.
pi16,UP,UP,UP,NonDE,.
pi4k2a,NonDE,NonDE,NonDE,NonDE,.
pi4k2b,UP,UP,NonDE,NonDE,.
pi4ka(1of3),DN,DN,DN,NonDE,.
pi4ka(2of3),NonDE,NonDE,NonDE,NonDE,.
pi4ka(3of3),NonDE,NonDE,NonDE,NonDE,.
pi4kb(1of2),NonDE,NonDE,NonDE,NonDE,.
pi4kb(2of2),NonDE,NonDE,NonDE,NonDE,.
pias1(1of2),NonDE,NonDE,NonDE,NonDE,.
pias1(2of2),NonDE,NonDE,NonDE,NonDE,.
pias2,NonDE,NonDE,NonDE,NonDE,.
pias4,NonDE,NonDE,NonDE,NonDE,.
pibf1,DN,DN,DN,NonDE,.
picalm(1of3),NonDE,NonDE,UP,NonDE,.
picalm(2of3),DN,DN,DN,NonDE,.
pick1,NonDE,NonDE,NonDE,NonDE,.
pid1,NonDE,NonDE,NonDE,NonDE,.
pidd1,DN,NonDE,NonDE,NonDE,.
piezo1,UP,UP,NonDE,NonDE,.
piezo2(2of2),NonDE,NonDE,NonDE,NonDE,.
