id,b_D3d,b_D6d,b_D1m,b_NonD,GO
adamts8,NonDE,UP,NonDE,NonDE,.
adamts9,DN,DN,DN,NonDE,.
adamtsl1,NonDE,NonDE,NonDE,NonDE,.
adamtsl5,UP,NonDE,NonDE,NonDE,.
adap1(1of4),NonDE,NonDE,NonDE,NonDE,.
adar(1of2),NonDE,NonDE,NonDE,NonDE,.
adar(2of2),NonDE,NonDE,NonDE,NonDE,.
adarb1(3of3),DN,DN,NonDE,NonDE,.
adat1,DN,DN,DN,NonDE,.
adat2,DN,DN,DN,NonDE,.
adat3,DN,DN,NonDE,NonDE,.
adck1,DN,DN,NonDE,NonDE,.
adck2,DN,DN,DN,NonDE,.
adck3(1of3),NonDE,NonDE,NonDE,NonDE,.
adck3(2of3),NonDE,NonDE,NonDE,NonDE,.
adck3(3of3),UP,UP,UP,NonDE,.
adck5,NonDE,NonDE,NonDE,NonDE,.
adcy2(1of4),NonDE,NonDE,NonDE,NonDE,.
adcy2(2of4),NonDE,NonDE,NonDE,NonDE,.
adcy2(3of4),NonDE,NonDE,NonDE,NonDE,.
adcy2(4of4),NonDE,NonDE,UP,DN,.
adcy3(1of3),DN,DN,DN,NonDE,.
adcy3(3of3),NonDE,NonDE,NonDE,NonDE,.
adcy5,DN,DN,DN,NonDE,.
adcy6(1of2),NonDE,NonDE,NonDE,NonDE,.
adcy6(2of2),UP,UP,UP,NonDE,.
adcy8(3of3),NonDE,NonDE,NonDE,NonDE,.
adcy9(1of2),NonDE,NonDE,NonDE,NonDE,.
adcy9(2of2),NonDE,NonDE,NonDE,NonDE,.
adcyap1(1of2),NonDE,NonDE,DN,UP,.
add1,NonDE,NonDE,NonDE,NonDE,.
add2,UP,UP,UP,UP,.
add3(1of2),NonDE,NonDE,NonDE,NonDE,.
add3(2of2),NonDE,NonDE,NonDE,NonDE,.
adgra2,NonDE,NonDE,NonDE,NonDE,.
adgra3,NonDE,NonDE,NonDE,NonDE,.
adgrb1(1of4),NonDE,NonDE,UP,NonDE,.
adgrb1(2of4),NonDE,NonDE,NonDE,NonDE,.
adgrb1(3of4),NonDE,NonDE,NonDE,NonDE,.
adgrb3(1of2),DN,DN,DN,DN,.
adgrd1,NonDE,NonDE,NonDE,NonDE,.
adgre1,DN,DN,DN,NonDE,.
adgre5,NonDE,DN,DN,NonDE,.
adgrf3(1of2),NonDE,NonDE,UP,NonDE,.
adgrf5(5of6),NonDE,NonDE,NonDE,NonDE,.
adgrg2(1of3),NonDE,NonDE,NonDE,NonDE,.
adgrg4(4of6),NonDE,NonDE,NonDE,NonDE,.
adgrg4(5of6),NonDE,NonDE,NonDE,NonDE,.
adgrg5,NonDE,NonDE,NonDE,NonDE,.
adgrg6(1of2),NonDE,NonDE,NonDE,NonDE,.
adgrg6(2of2),NonDE,NonDE,NonDE,NonDE,.
adgrl2(1of3),NonDE,NonDE,NonDE,NonDE,.
adgrl2(2of3),NonDE,NonDE,NonDE,NonDE,.
adgrl3(1of8),NonDE,NonDE,DN,DN,.
adgrl3(2of8),NonDE,NonDE,DN,DN,.
adgrl3(3of8),UP,UP,DN,DN,.
adgrl3(4of8),UP,NonDE,DN,DN,.
adgrl3(5of8),NonDE,NonDE,NonDE,NonDE,.
adgrl3(6of8),UP,UP,UP,NonDE,.
adgrl3(8of8),UP,UP,NonDE,NonDE,.
adgrl4(2of2),UP,NonDE,NonDE,NonDE,.
adgrv1,NonDE,NonDE,DN,NonDE,.
adh5(1of4),NonDE,NonDE,NonDE,NonDE,.
adh5(2of4),UP,NonDE,UP,NonDE,.
adh5(3of4),UP,UP,NonDE,UP,.
adh5(4of4),DN,DN,NonDE,NonDE,.
adhfe1(1of2),NonDE,UP,NonDE,NonDE,.
adhfe1(2of2),UP,UP,UP,NonDE,.
adi1,NonDE,UP,NonDE,NonDE,.
