Condition,FDR,DE,,,,,,
D3d,0.813799882,0.085550057,,,,,,
D3d,0.077658962,0.364512094,,,,,,
D3d,1.01E-06,-1.004857474,,,,,,
D3d,0.874981733,-0.037114204,,,,,,
D3d,0.000709776,-3.840552045,,,,,,
D3d,0.069016113,-0.400858115,,,,,,
D3d,0.057864236,0.689490696,,,,,,
D3d,0.873631449,-0.10949063,,,,,,
D3d,0.814629985,-0.140719946,,,,,,
D3d,0.199034772,-1.977746368,,,,,,
D3d,0.744918305,0.071834049,,,,,,
D3d,0.042414887,-0.502388402,,,,,,
D3d,0.175029281,0.258886537,,,,,,
D3d,0.680011433,0.067934134,,,,,,
D3d,9.68E-05,0.49179938,,,,,,
D3d,0.001413975,-0.405469105,,,,,,
D3d,0.037600928,1.262633293,,,,,,
D3d,0.381689787,-0.62250187,,,,,,
D3d,3.05E-06,1.611995255,,,,,,
D3d,0.000533956,3.08647028,,,,,,
D3d,0.00216782,0.482798974,,,,,,
D3d,2.99E-09,1.397621162,,,,,,
D3d,8.94E-10,1.198637585,,,,,,
D3d,2.11E-07,1.206447358,,,,,,
D3d,6.99E-05,-0.487657501,,,,,,
D3d,0.17515142,-0.219191638,,,,,,
D3d,5.91E-07,2.491502023,,,,,,
D3d,0.002933118,1.807466289,,,,,,
D3d,0.000634802,-1.372915177,,,,,,
D3d,0.218712424,0.646980094,,,,,,
D3d,3.66E-05,1.21219303,,,,,,
D3d,0.000164437,0.766466364,,,,,,
D3d,0.020093182,0.355305774,,,,,,
D3d,5.92E-06,0.568146948,,,,,,
D3d,0.920657891,0.087710829,,,,,,
D3d,0.437062813,0.367367427,,,,,,
D3d,6.62E-18,-1.902074625,,,,,,
D3d,0.566838541,0.30106437,,,,,,
D3d,1.06E-08,-0.689823613,,,,,,
D3d,0.040847216,-0.388342468,,,,,,
D3d,9.45E-37,-2.064148883,,,,,,
D3d,4.02E-05,-1.082327971,,,,,,
D3d,4.18E-10,-2.278857282,,,,,,
D3d,0.895315584,-0.068673302,,,,,,
D3d,1.60E-08,1.353201964,,,,,,
D3d,3.45E-19,-1.27898752,,,,,,
D3d,4.57E-18,-2.165267094,,,,,,
D3d,4.70E-11,1.009058792,,,,,,
D3d,2.90E-07,-1.465364542,,,,,,
D3d,9.94E-06,1.860484117,,,,,,
D3d,1.98E-18,-1.549225326,,,,,,
D3d,0.945166248,-0.019651869,,,,,,
D3d,0.276568999,0.172462042,,,,,,
D3d,1.93E-26,-2.660042382,,,,,,
D3d,0.714904448,0.055730822,,,,,,
D3d,0.022514989,1.477100822,,,,,,
D3d,2.90E-30,-3.088673172,,,,,,
D3d,0.034704662,-1.472784506,,,,,,
D3d,0.002517303,1.755365497,,,,,,
D3d,1.69E-14,-1.38999945,,,,,,
D3d,0.023493722,0.365252777,,,,,,
D3d,1.26E-06,-1.453268288,,,,,,
D3d,7.54E-19,-2.237288514,,,,,,
D3d,0.000133013,0.504557471,,,,,,
D3d,0.576053603,-0.135312714,,,,,,
D3d,0.00015502,-0.624731531,,,,,,
D3d,0.042373349,0.276051079,,,,,,
D3d,0.622855963,0.143227396,,,,,,
D3d,6.66E-09,-0.823845596,,,,,,
D3d,0.005940068,0.482996174,,,,,,
D3d,6.76E-18,3.418182454,,,,,,
D3d,0.687896301,0.163851702,,,,,,
D3d,7.16E-07,-1.5789348,,,,,,
D3d,0.980235698,0.005737369,,,,,,
D3d,4.37E-36,-2.77978684,,,,,,
D3d,0.781357385,0.055745661,,,,,,
D3d,0.909592425,-0.046173267,,,,,,
D3d,0.309833219,-0.452120628,,,,,,
D3d,0.17991062,0.255022097,,,,,,
D3d,0.055338259,-0.834383311,,,,,,
D3d,0.095502789,0.349678929,,,,,,
D3d,0.092930231,-0.258907927,,,,,,
D3d,6.02E-08,1.713676706,,,,,,
D3d,3.62E-05,1.012302531,,,,,,
D3d,2.09E-09,2.298521516,,,,,,
D3d,0.373338872,-0.162709021,,,,,,
D3d,7.27E-05,-2.825797422,,,,,,
D3d,4.21E-11,-0.979245572,,,,,,
D3d,0.306799623,0.156200354,,,,,,
D3d,0.000253023,0.503628465,,,,,,
D3d,0.04730474,-1.086118425,,,,,,
D3d,0.007907698,0.482732554,,,,,,
D3d,3.83E-08,-0.792842624,,,,,,
D3d,5.33E-09,-0.911875131,,,,,,
D3d,1.21E-13,-2.117197781,,,,,,
D3d,1.58E-09,-3.885666431,,,,,,
D3d,5.79E-09,0.703808382,,,,,,
D3d,0.312174201,-0.277987573,,,,,,
D3d,0.002388899,-0.688607572,,,,,,
D3d,0.000173844,0.527493578,,,,,,
D3d,0.020609597,2.952527386,,,,,,
D3d,0.003942246,-0.473995475,,,,,,
D3d,2.60E-17,-1.813782926,,,,,,
D3d,0.071378097,-1.707779355,,,,,,
D3d,0.980445043,0.011131559,,,,,,
D3d,2.81E-09,-1.023667497,,,,,,
D3d,0.95345656,-0.072974414,,,,,,
D3d,4.93E-05,-4.283381975,,,,,,
D3d,1.06E-05,0.757254735,,,,,,
D3d,0.189554088,-0.282367855,,,,,,
D3d,2.25E-42,3.785934958,,,,,,
D3d,2.12E-21,3.534337618,,,,,,
D3d,0.003437748,0.925258619,,,,,,
D3d,7.68E-09,-0.95824105,,,,,,
D3d,0.061330238,0.307345936,,,,,,
D3d,0.732285664,-0.256834557,,,,,,
D3d,2.52E-08,-0.895053869,,,,,,
D3d,0.069426322,0.379596944,,,,,,
D3d,0.009019651,-0.37055649,,,,,,
