"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"wnt3",0.00456073994130841,0.000179509359787878,0.000323855159816973,0.0122421295812071,0.00814851895423547
"rars",0.00799938071990306,0.000155961167980373,5.05819397097604e-05,0.00215326635900666,0.000101138801823647
"gclc",0.00151054030401583,0.00389563895083135,0.00022222402927221,0.0187887234465729,0.0579411919209454
"slc9a1(1of2)",0.00534884648184532,0.0139012255544287,8.11098376421206e-09,4.8953633807073e-05,0.0010790034357564
"slc25a46",0.00723604877444794,5.44547995560443e-05,0.000913419186463718,0.000528739022629744,0.00188217873514252
"sass6",0.00826321957517234,9.19578230027149e-05,3.92029189301502e-07,0.000417011891148074,0.000141600992600031
"rgs20(2of2)",0.00515145941611847,0.000208349094653536,0.0186704066857295,1.75452777292271e-06,0.00035646569512529
"romo1",0.00201047993303702,0.0203347541277816,0.00042001154175237,4.95559201443828e-06,0.000645277932958391
"rab26(1of2)",0.00412333462977284,0.00261353793819825,2.72392795401614e-07,0.000437772939706336,0.0181848283290947
"rrh",0.000486362576642701,0.0124019130273569,0.0159704163380833,0.000149571845671948,0.0263018051977881
"nrg3(1of2)",6.44358540045417e-06,0.00819051701890996,0.00354994849210412,0.00244456032459472,0.0119995986918164
"hapln3",0.00758306132208233,0.000230176703689982,0.00294014352321376,0.000721388015136078,0.000311367564558383
"tdh(2of3)",0.00280527500773784,0.0188669482858702,8.48201370353926e-05,0.00107832368482653,0.0144605038005973
"zfp706(1of2)",0.00533195836943155,0.00421267577514264,0.00780065544376804,4.1788042780616e-05,0.000507068452131707
"desi1(2of2)",0.00525092267262815,0.00766119577101028,0.00188915090200985,0.00069900567686602,0.00337609760259904
"slc47a1(4of4)",8.30282437608318e-06,0.00258575827540429,0.00804922353443806,0.0172187396524885,0.0390057911186379
"etnk1(3of3)",0.000638986313320662,0.0171644779246172,0.00172481571311499,0.0106128525259344,0.0186075752875948
"wdr59",0.005655888068405,0.000520180033620518,0.0147065782817449,0.000863633253160332,0.00165782465897056
"LOC107378013",0.00305874026354897,0.00650889615602131,0.00191953145004521,0.00298493920532128,0.000619985143342937
