id,qval,Log2Fold
map3k5(2of2),1.60E-07,0.66828195
mid1ip1(3of4),1.68E-07,0.695078844
b3gnt3(1of3),1.70E-07,0.837493553
znf235(19of148),1.75E-07,0.604247447
fyn(2of3),1.79E-07,0.571239036
gria3(1of2),1.86E-07,-0.978917532
fam173a(2of2),1.88E-07,0.564014829
lss,2.03E-07,-0.622566751
tmem248(1of2),2.06E-07,0.795047294
cnp,2.07E-07,0.547057878
srd5a2(1of2),2.15E-07,1.04569379
hnrnpk(2of2),2.21E-07,0.720984441
cxcl14,2.28E-07,0.726910371
znf235(7of148),2.37E-07,0.548870928
brca2,2.37E-07,-0.604893078
eef1a1(5of5),2.44E-07,-1.40504362
plscr1,2.47E-07,0.776047558
sdc4(2of2),2.57E-07,0.585455948
atp5j2,2.61E-07,-0.543252056
tmem179(1of2),2.61E-07,-0.83368994
gcfc2,2.72E-07,0.544749742
misp,2.73E-07,-0.795582052
ttll4,2.81E-07,0.935925314
tp53inp1(2of2),2.85E-07,-0.841496561
rin2(3of4),2.91E-07,0.582359322
grb2,2.95E-07,0.542902918
gfod2,3.02E-07,0.768723504
myo15b(1of2),3.10E-07,1.218573097
unc119b(1of2),3.21E-07,1.872635844
myh7(2of3),3.33E-07,-0.693815882
mfap2(2of2),3.33E-07,1.570502539
scamp2(1of2),3.46E-07,-0.63861338
srgap3(3of4),3.53E-07,-0.621480143
ncapd2,3.54E-07,-0.74057303
serinc5,3.57E-07,0.67191594
rela,3.58E-07,0.537468525
synpr(2of3),3.63E-07,0.871749624
atp2a1(1of2),3.88E-07,-0.726638297
LOC107376894,3.91E-07,-0.757848148
slc6a5,3.92E-07,-0.76774533
prodh(2of2),3.97E-07,0.579701189
zfp384(1of2),4.05E-07,0.681847732
qrich1(1of2),4.06E-07,0.585426357
vat1l(2of2),4.06E-07,-1.673367595
zar1(2of2),4.08E-07,-0.867607889
LOC107372891,4.11E-07,-0.744155314
mob3c,4.11E-07,0.540725491
st13,4.19E-07,0.533045831
mgea5(3of3),4.28E-07,0.549367899
aip,4.42E-07,0.554732062
pik3ip1,4.58E-07,0.642505693
sptlc1,4.58E-07,0.675750347
kdf1(2of2),4.62E-07,0.701662444
peli1(3of3),4.72E-07,0.554982687
LOC107388344,4.85E-07,-1.092708609
cnbp,4.87E-07,0.590211231
ppp1r9b(2of2),4.87E-07,-0.79263564
palm3,4.91E-07,0.575849558
comt,4.95E-07,0.536205681
spef2(2of3),4.98E-07,-0.821946065
dnah8,5.11E-07,-0.793296463
kctd3,5.17E-07,-0.774645342
uap1l1,5.30E-07,-0.646547862
znf431,5.31E-07,0.588371059
oaf,5.33E-07,0.615761635
actc1(3of5),5.67E-07,-1.281427566
coro2a(2of2),5.97E-07,-1.118320213
tmem106b,5.97E-07,0.599378019
nudt4(2of2),6.04E-07,0.565392058
actr2(1of2),6.32E-07,0.527214977
sar1b(2of3),6.41E-07,0.67739614
rab1b,6.55E-07,0.556704852
spef2(1of3),6.66E-07,-0.828974325
LOC107373123,6.92E-07,-2.132769885
gpt(1of4),6.98E-07,0.798924229
tmc6,7.16E-07,0.878586567
LOC107377101,7.27E-07,0.543413812
dnajc7(2of2),7.39E-07,0.56773282
taok3(1of2),7.60E-07,-1.061503385
fgfbp1(1of3),7.86E-07,0.676264129
ehd2(2of4),7.97E-07,0.785516375
aldoc(1of2),8.18E-07,-0.518599535
znf33a,8.53E-07,0.696285024
tmem204,8.72E-07,-0.728187404
shisa9(3of4),8.75E-07,-0.719475266
eif5a(2of3),8.87E-07,0.875017797
mid1ip1(2of4),8.99E-07,0.875428745
slc25a25(4of4),9.08E-07,1.054911562
cpsf4,9.26E-07,0.718516311
fkbp1b(2of4),9.55E-07,0.589722085
adamts3,9.66E-07,-0.620528642
rab25(2of2),9.80E-07,-0.86513608
ceacam5(3of3),9.93E-07,0.59316599
cchcr1,9.95E-07,-0.658569429
znf235(122of148),9.95E-07,0.585421137
epb41l1(2of2),1.01E-06,0.964770999
nelfcd,1.03E-06,0.542589512
zfand5(1of3),1.05E-06,0.567550681
zfpl1,1.11E-06,0.740897239
perp,1.11E-06,0.693861003
prkci,1.11E-06,0.57608826
noxo1(1of2),1.12E-06,-1.186483967
abcc10,1.18E-06,-0.841328882
ranbp1,1.25E-06,0.549154644
srd5a3,1.26E-06,0.573427534
ddit4(1of2),1.27E-06,0.699718333
npc2,1.29E-06,0.725400644
epc1(1of2),1.29E-06,-0.579652209
fam120c,1.35E-06,-0.55410107
dcaf15,1.39E-06,0.594576055
idh3g,1.43E-06,0.512590742
pofut2,1.57E-06,0.531244707
casp3(2of2),1.58E-06,0.567459075
LOC107376313,1.61E-06,-1.890017339
spa17,1.63E-06,-0.720669644
znf658(5of5),1.63E-06,0.589136025
nr1h4(1of2),1.65E-06,-0.962304178
tmem158,1.67E-06,0.570373023
abi1(2of4),1.69E-06,0.789426252
mau2,1.70E-06,0.635869153
nucb2(2of2),1.71E-06,-0.623985856
LOC107380288,1.71E-06,0.526001405
zbed4(8of38),1.72E-06,-0.653503024
abcb11(1of2),1.73E-06,-0.77854918
trim39(8of27),1.74E-06,-1.502871066
max(2of3),1.75E-06,0.56233064
dmgdh,1.81E-06,0.667743678
tmem200c(1of2),1.85E-06,0.662897434
tnrc18,1.89E-06,-0.775822057
zc3h4(2of2),1.90E-06,-1.029870879
ppp1cb(2of2),1.96E-06,0.908448541
rab3d(1of2),1.97E-06,0.511292417
pgbd4(6of12),2.00E-06,-1.121102074
LOC107380517,2.05E-06,-1.419761221
ptprn2(2of2),2.19E-06,-0.86340739
lpcat3,2.20E-06,-0.73241656
add3(1of2),2.21E-06,-0.729163648
allc,2.22E-06,0.699419533
igdcc3(3of3),2.25E-06,-0.68228748
atp5g3(1of2),2.30E-06,-0.556462164
thoc1,2.31E-06,0.550067713
rnf165(2of2),2.32E-06,-0.556156493
ocln(3of4),2.33E-06,0.60894317
hhat,2.33E-06,0.743127454
agpat4(2of2),2.37E-06,-1.222102894
wdr27,2.40E-06,-0.625681997
hmcn1(5of8),2.42E-06,-0.634266077
fam162a,2.43E-06,0.554941655
prkaca(2of3),2.57E-06,0.567584765
lrrk2,2.61E-06,-0.62141041
col12a1(2of2),2.63E-06,-0.72322818
ccdc71,2.67E-06,0.501001189
slc23a1(2of2),2.68E-06,-1.034063542
tmx2(2of2),2.76E-06,0.53851881
klf9(2of2),2.76E-06,0.542140225
dst(2of2),2.84E-06,-0.700131342
sdhb,2.90E-06,0.629831754
gpsm1(1of3),2.94E-06,-1.897877371
gfra1(7of7),2.95E-06,-0.858559679
pcyox1,3.01E-06,0.601315899
zscan2(2of3),3.07E-06,-0.893122667
mapk8ip3(1of2),3.08E-06,-0.752446515
znf597,3.14E-06,0.58810134
gcat,3.16E-06,0.570541166
LOC107387798,3.19E-06,0.57051247
trim68(1of2),3.22E-06,0.879973072
fam69a(1of2),3.23E-06,-0.679134976
ppa2,3.31E-06,0.959720728
wnt5a,3.33E-06,0.608531508
gpi(1of2),3.42E-06,0.495264284
lrrc40,3.44E-06,-0.735664819
smn1(2of2),3.48E-06,0.946908709
sdhaf2,3.51E-06,0.524705861
tmem18,3.59E-06,0.535358019
