id,PreD_Lib1,PreD_Lib2,PreD_Lib3,D3d_Lib11,D3d_Lib12,D3d_Lib24,D6d_Lib14,D6d_Lib15,D6d_Lib16,D1m_Lib18,D1m_Lib19,D1m_Lib26,NonD_Lib21,NonD_Lib22,NonD_Lib23
thsd4(2of2),0.592141936,0.713991245,1.003665388,7.568994089,8.521739759,7.390005995,5.388186321,6.362236974,7.392020088,4.494400385,3.949222107,4.119551061,1.483605273,1.535111978,1.407569593
thsd7a(1of2),3.897345131,4.505811765,4.174465942,5.888858555,4.456474426,3.459928343,3.175155711,3.407760423,3.142748903,2.24843091,2.697616715,1.93522788,6.718094836,6.681426448,6.25677535
thsd7a(2of2),0.255302418,0.319133283,0.425932063,0.37795451,0.591070376,0.432579772,0.455617509,0.221409781,0.373075606,0.506790602,0.310260094,0.279091771,0.275925833,0.294543845,0.319041666
thsd7b,1.268048717,1.217086756,1.156632863,0.721370189,0.712361648,0.750006507,0.650370645,0.700358581,0.615124416,0.327145055,0.316557885,0.458949526,0.981692259,0.915044369,0.751086137
thtpa,8.568768192,8.607398344,7.593523728,1.321386135,1.486641728,1.145879995,1.591642435,1.535810917,3.008102468,1.36478732,2.755429082,1.374262589,11.11342848,9.909858459,9.915910241
thumpd1,53.38162837,57.32599153,55.94370176,66.27550233,61.74048039,57.91116635,72.83708306,70.31748415,66.89577342,48.0981939,65.84419616,57.69985347,58.89450092,62.81335741,67.07978696
thumpd2,4.13075453,6.699697209,7.845158616,4.689208681,6.503170262,7.914326806,5.393960924,4.640395668,4.745305259,4.146651672,4.898586642,5.880705573,5.627329373,6.374548085,6.102488953
thumpd3,66.06880823,63.44869554,63.58287622,46.64127725,53.56614918,57.38840912,77.30533508,67.06750849,64.79327019,66.30210412,70.83871819,64.86696348,59.95898299,63.88598052,68.46262568
thyn1,11.67438335,13.46931023,13.64906928,2.947157603,0.744953005,1.086582348,1.398731141,1.643084488,1.406745943,3.166192883,2.363360832,1.580849258,13.23829192,16.08306757,18.58022438
tia1(1of2),53.26191642,45.23026492,50.01321355,25.77845196,27.10832993,23.29040378,28.33755292,29.05489529,24.67080728,55.2969583,59.59245632,61.63349758,42.15036502,47.77368235,48.6055249
tia1(2of2),48.25278365,43.20902741,39.5767654,22.8881264,23.266607,23.88060965,28.57827859,26.03904765,30.53817642,49.81210565,28.5224746,38.7062786,56.52515399,54.74956091,51.91361351
tial1,39.09397963,35.17595757,32.61323232,34.04649472,38.6016648,34.07808742,41.74839714,46.72477292,46.75737384,49.75843743,50.18943597,42.93872153,34.5314636,34.86520662,35.22794643
tiam1(1of2),23.66637442,20.10623899,19.20523953,10.68165097,14.87196198,14.02811708,11.13118421,12.41127403,12.70819791,8.705272208,9.938724912,9.940150006,13.47810416,12.97070441,12.92079285
tiam1(2of2),9.772392066,9.713466491,9.912579385,5.572087777,6.666871802,7.06201088,5.056221561,4.853394232,5.015920575,3.75553109,3.178813935,3.873058679,7.69460577,7.583363292,6.963168488
tiam2(1of3),1.906868324,1.558359867,1.877930231,1.42510402,2.03503914,2.185619561,1.724491156,1.68316445,1.458294555,0.998098294,0.971523861,1.55487796,2.018635247,2.203620012,2.145203941
tiam2(2of3),10.4346816,11.47154426,10.79141041,5.403779535,8.026091558,6.74293352,5.277289692,3.876293195,4.321092527,4.5673762,3.76791449,3.916776513,12.53729046,12.23276744,10.93389909
tiam2(3of3),27.21186509,24.78735681,23.32386884,17.43177029,18.72752319,18.44459395,13.95143159,15.77605039,15.69211746,15.40397739,9.498993931,11.55974232,20.35114747,20.89186089,20.86394499
ticam1,0.020375043,0.03567834,0.132728079,1.027406786,0.327848064,0.442459909,0.068260758,0.232327857,0.571005125,0.04331829,0.041811071,0.092349506,0.976914502,0.787083988,0.653210257
ticrr,11.36341149,9.796474232,8.211439529,2.756758258,2.874703888,3.086923563,3.223279886,3.403662629,2.918817254,3.321647051,3.530507955,2.381521464,10.17697344,10.27808674,9.261105578
tie1,7.254993253,8.265979844,7.092520726,7.353339788,8.222970982,8.631684966,8.286902535,7.979364452,7.82446236,4.937340178,5.087618238,5.445957944,7.351608626,6.420805785,8.307143535
tifa(1of2),3.675625604,2.253025579,2.160428941,3.303480627,1.869267998,1.221486407,2.214496672,3.325180626,1.526985023,1.185966605,1.921143114,1.156301007,2.97579225,2.882043539,3.032518758
tifa(2of2),4.504191609,4.21573025,8.195519973,40.17037448,40.75643173,25.11924291,17.01711338,17.6490266,17.80579671,8.39956597,9.464075071,9.207107562,4.97624488,4.885781189,4.577718591
tigar(1of2),0.535106702,0.313812596,0.577413541,0.890858937,1.374198616,0.885153453,1.716554675,2.913657082,1.688134122,0.831108593,1.72428494,1.752940312,0.487079287,0.683904998,0.850228109
tigar(2of2),2.133850627,1.898148602,1.926264922,0.539466573,0.846993739,1.044388703,1.303796243,0.652266581,0.172397541,1.819146733,1.416646648,1.271937014,2.679554207,2.371488277,2.622726178
tigd1,7.487117592,8.953498687,7.11142522,12.46760434,11.86220561,10.46824203,12.36558936,9.587611609,9.839246714,8.368010793,9.629653151,9.385937972,4.673359376,5.775865622,6.244357475
tigit,5.74555639,4.683930612,6.521497701,7.735661092,7.163163359,7.981671973,5.902882301,5.425929512,5.865774557,6.996523548,4.364732826,6.754244519,4.299906737,3.37042378,3.298275333
timeless,41.5305903,37.75999693,28.86991592,2.075546621,1.371718092,0.857555738,0.65286563,1.013480391,0.454869499,1.753693065,1.204580704,3.073457464,37.1835727,39.25675028,39.73566238
timm10b,19.69572097,19.12363697,17.65895583,16.13441166,13.54107328,11.31347896,14.40858937,9.386938999,13.70811575,12.10205685,8.178714746,9.623778733,14.2889101,14.85426529,17.89247516
timm13,19.62296054,16.64488525,16.09708717,11.04728991,10.03370547,14.4885362,12.65687164,10.83287421,11.87094769,14.89212512,14.30126993,15.71936572,21.09507097,18.78542155,16.6782037
timm17a,51.93127586,50.20211504,42.83098045,28.66652177,24.89054285,21.81034637,37.5651223,39.10371937,44.23340238,31.85826123,54.92706318,45.87262878,45.89948315,49.31752684,49.12809475
timm17b,2.252567171,3.048578473,3.026181944,3.481703844,2.727915794,3.902744293,4.289540728,3.76797984,4.1434212,4.698306524,5.343786961,4.417993128,2.742236467,2.05780377,3.441062277
timm21,14.49833684,12.96965381,16.97764598,29.47315976,21.96426325,21.90579021,31.48488316,32.0938221,28.23123051,38.08608565,36.02603064,38.814714,11.10081735,13.4621695,14.14376828
timm22,16.87588637,16.6431201,18.19277523,6.236519365,6.483916662,5.018771693,7.022850534,7.741818111,6.592302209,5.298696954,8.248983063,9.888675802,17.72104819,17.37015821,17.58026789
timm23,29.3296396,27.72069805,24.65730764,15.20865646,17.86826303,16.84103226,28.03765135,31.21676421,25.84346606,36.64525372,32.50781444,32.56650209,36.48891697,36.98922371,35.6296923
timm44(1of2),11.38074581,12.57746788,9.878531981,6.938834988,5.08505471,5.128995119,7.76845057,6.779185636,5.584009116,6.428247575,10.20931556,7.683937346,12.52290553,11.63456038,13.00789779
timm44(2of2),16.60747507,14.0042217,10.64309615,2.19973073,1.299820265,3.388272083,2.74612596,2.669294919,2.836377067,2.362914073,2.154973,4.823172401,16.50735463,17.73172801,15.79653373
timm50,28.62990579,27.50479416,25.69455443,16.71403046,13.78262811,17.80614537,22.20480291,21.4767444,23.87819817,20.61156544,19.39942331,16.04132296,26.26717747,26.90992352,25.90371084
timm8a,27.21833241,26.46724517,29.82912273,28.02091097,23.61723772,16.55850371,16.61666428,8.258879112,13.42707941,11.3191246,16.82966911,16.59771877,32.37599373,33.61990115,39.65962588
