id,b_PreD,b_D3d,b_D6d,b_D1m,b_D4m,b_NonD
tmc7(2of3),0,1.394127249,1.736534999,0.768238923,1.198419792,1.247780369
rab40b,0,2.679668717,1.006211069,1.996614025,-0.064535726,1.174954985
scg2(1of2),0,3.717466259,4.149285233,3.67115786,3.494911351,3.148279426
fam92b,0,3.771417489,3.266010629,3.388472621,2.425941684,1.011430961
c7(1of2),0,2.647595224,2.586927822,0.237591554,-0.896066586,0.421407664
f7(2of2),0,1.716644669,2.187472339,2.27083156,0.932045555,0.267568067
cnga2(2of2),0,0.852199081,0.541580181,3.026259878,1.364182492,-0.726948831
nptx2(3of4),0,4.378210827,2.886501891,2.281378617,3.58967447,3.590613197
slc23a2(1of3),0,1.786016168,-1.725971073,1.433109535,1.149838001,0.698731176
eef1a1(3of5),0,4.678627847,6.160839909,6.421707664,4.62801596,0.676893258
lbp(1of2),0,1.855756914,0.539465884,0.606976856,2.075910764,1.810059573
npr1(3of4),0,-0.057319862,0.840512964,-0.374933108,1.805003186,1.092695841
rims1(1of2),0,-0.024475774,1.302154857,-1.247873148,1.548980047,1.681979309
lrrc2,0,4.026269589,4.637721011,4.796892062,3.619079609,-0.788643094
ntng2(2of2),0,-0.530904729,1.311926794,-0.082885555,1.919730622,2.174430952
tspan15(1of4),0,1.612799666,1.926788431,-1.175385649,1.303896457,0.932726867
smtnl1,0,1.454614564,1.022962825,1.468664375,0.859753278,0.257543217
cyp27a1(4of4),0,1.3057232,1.014574551,0.572707207,1.629316524,0.591359812
snca(3of3),0,2.713376567,3.066923977,3.334411813,2.989202185,1.858865012
b3gnt5(2of3),0,1.422948448,-0.33216675,1.123735339,1.624363132,0.698562067
c7(2of2),0,2.0240354,0.68893346,-0.162732881,1.286065157,1.043207641
chtop(1of2),0,1.429395661,1.707238947,1.689322305,1.081612532,0.361114869
sez6l2,0,1.906786909,1.415051427,1.327977512,3.097745727,2.446875056
slc6a1(3of3),0,0.728241667,0.849225022,-1.25826195,2.017822306,2.727094496
vip(1of2),0,1.110996301,-0.619522714,1.303900447,0.838189504,1.051593415
gdap1,0,2.449308886,1.575066936,1.548101408,1.076433979,1.639551388
cela2a(5of5),0,2.913667201,3.872182099,5.286100202,3.626958656,-0.026256734
smc1b(2of2),0,3.042130884,3.380181477,4.387444319,2.222368479,0.747688381
jak2(1of3),0,1.441564685,1.261059264,1.661824319,-0.995313412,1.707820547
ldhb(1of2),0,0.985759492,2.014475875,1.038296517,1.071086393,1.801382865
LOC107376894,0,0.575819354,2.449587043,2.909427919,0.545179782,0.150785058
slc6a17(2of2),0,-0.503086282,1.654985068,-0.517254328,1.611804179,0.990932119
slc1a1(1of5),0,1.170845937,1.705547002,2.636481555,-0.304717712,0.040563817
nsg1(2of3),0,0.681939942,1.28555212,1.552612386,2.667929875,1.935928637
bcl3,0,2.452212872,2.33788971,1.257077823,1.401147712,0.381470591
gjd2(1of4),0,2.436642283,0.945661412,0.213638931,-0.337093241,0.704783302
shisa6(3of3),0,1.40619961,-1.37917313,0.314061089,-0.961728843,1.592045676
astn2,0,1.267619685,0.75547337,0.938940077,1.691436859,1.130649551
camk2d(3of3),0,2.111222214,1.501315625,-0.581032102,1.005275804,0.78501757
itsn1(1of2),0,2.178695855,1.943279582,2.831796231,-1.061124,0.908493088
fgd4(2of2),0,1.307541897,-0.322607557,1.621880119,0.998538855,1.006472714
adgrb1(4of4),0,0.191379863,0.907021924,-0.547314282,1.682042858,1.900762397
kcnh4(2of2),0,-0.361866215,0.382200482,1.734789973,-0.358864222,0.905033616
ncln(1of2),0,-0.281535326,1.17721618,1.42592363,1.192042589,-0.051956278
slc10a4,0,3.364774652,3.729002459,4.681243975,2.890814761,2.889246747
slc25a38(2of2),0,1.817847851,1.327009067,2.784767361,1.795810591,-0.292872923
LOC107391257,0,3.003901716,2.343726761,2.82974069,2.821643632,2.281467533
mpdz(2of3),0,1.646911612,1.814334146,2.032260294,1.914579233,1.369770464
nfix(2of3),0,2.291651979,1.506922339,1.317735192,0.0980649,1.162620686
aifm3(3of3),0,1.353108599,0.861219919,0.633750826,0.978876155,1.10566824
hsp30(3of5),0,2.425551827,3.776368641,6.216006793,4.426118255,1.622009284
golga7b(2of2),0,-0.474959606,1.532972654,1.703263674,-0.370779355,0.279592995
nlgn1(1of2),0,1.526229748,0.471078021,0.57344997,0.747867387,1.999622074
slc9a2(1of2),0,3.027284,2.774354152,3.287358385,3.550401151,3.131981868
slitrk3(2of2),0,1.267504002,-0.583676009,1.533436366,2.204660956,1.123029761
stxbp4(1of2),0,1.776904844,0.478545587,-1.380313845,-0.395270615,0.79554027
st6galnac5(1of2),0,1.371405946,0.848195461,-1.100745814,1.502833991,1.069613227
mfsd2a(1of3),0,0.295013839,1.178361376,2.47761095,1.490147394,1.045583871
tph1(1of2),0,1.960175651,1.91538031,2.189256292,3.068239701,3.299945105
foxq1(2of2),0,1.051146113,1.834808916,0.932444064,1.148709455,-1.025657427
ppm1k(1of2),0,1.112199691,0.301275413,1.513655584,0.94425683,1.017587204
slc5a7(2of3),0,2.127547964,1.367731975,-0.077661708,1.7608528,1.731778795
c9orf91,0,2.644786627,1.809794827,-0.128516797,1.871805543,2.94373218
ceacam6,0,3.329501432,3.87093327,1.907858412,3.56237807,2.987578358
gjb4(2of3),0,1.075629613,0.393836172,1.443855701,0.935595769,0.184800251
fmo5(2of8),0,1.721321111,1.064296574,2.684018865,1.311271782,1.987603759
slc6a1(2of3),0,1.431632179,1.972551168,-0.246190807,1.303937975,1.917865523
LOC107385941,0,0.371134668,2.1100814,1.193958855,0.395741515,0.217668118
vipr1(3of4),0,0.435246289,0.666339152,-0.141143907,-0.435130715,1.099019934
tmem74b,0,0.042697009,1.02846201,0.555834262,3.28384623,3.638414145
lox(2of4),0,2.347553164,1.880682212,1.826211685,0.915846779,0.236508343
nyap2(2of2),0,3.893984709,3.61581642,3.37089901,2.5594771,1.975313087
lck(2of2),0,1.791175962,2.309287498,2.681935215,2.246118371,1.049881171
tdrd5,0,1.295419515,0.875901984,1.688818592,0.02781393,-0.643754364
tat,0,1.646672081,4.597993982,4.159563698,1.446881033,-0.254299039
asb5,0,2.554850592,2.20939211,1.770602415,1.103998671,0.897187299
rnf170(2of2),0,0.381999662,0.915040926,1.17684078,-1.169706696,0.412804808
trim39(5of27),0,0.635182515,-0.383776238,-2.002764453,1.690491962,0.969823685
arhgap24(3of4),0,1.721784438,1.879011619,-0.496958277,0.059406583,0.677595891
rasal2(1of2),0,-0.516934788,-1.380515295,-1.773120153,1.121477545,1.151980606
nlrp12(1of4),0,3.062752846,3.609673295,2.610484633,0.279166425,0.360959179
fads6,0,0.88440607,2.073905983,1.158212199,-1.203157633,0.60389285
ppm1b(1of4),0,1.890174306,1.978464161,1.330901808,-0.493268565,0.446456458
ttc9,0,1.904979147,-0.200957394,-1.158379782,1.670400693,1.306295258
dennd1c,0,0.768670065,-2.129473359,0.220738066,2.098606947,1.056637188
asb9,0,2.067354389,2.271735505,1.013561899,1.561746216,2.04150139
kcng1(3of3),0,0.816387231,0.504128708,0.288701381,0.324015902,1.638161127
ddx19b,0,2.493569704,3.150803326,3.086777694,1.778928774,0.917073827
mmp20(1of2),0,0.902877597,-0.023681056,0.726493496,-0.042961657,1.009779371
