id,PreD_Lib1,PreD_Lib2,PreD_Lib3,D3d_Lib11,D3d_Lib12,D3d_Lib24,D6d_Lib14,D6d_Lib15,D6d_Lib16,D1m_Lib18,D1m_Lib19,D1m_Lib26,D4m_Lib20,NonD_Lib21,NonD_Lib22,NonD_Lib23
rbp1(2of2),149.3297237,138.0876724,111.9123526,27.91869145,21.8193902,16.27470756,14.98902378,12.6540951,19.68400648,6.269953818,7.481921111,6.291671086,99.9557531,113.7418859,126.9388523,143.4999338
rbp4(1of2),6.137342478,5.696324821,4.803964001,16.75198553,21.44336828,16.74232543,22.94667627,23.53037075,20.18427994,6.400132799,9.779342376,5.845391842,9.263611044,3.99143927,4.16085879,4.717100869
rbp4(2of2),2.159767168,2.252431019,2.810929038,0.743163526,1.966529301,0.963032356,2.308121598,1.342880461,1.654817857,1.770161825,0.199597996,0.759655385,3.636838735,1.570574835,2.063489299,2.949099211
rbp7(1of2),7.274549283,1.55894426,1.607607226,23.22538741,18.58464939,18.5005449,16.05587673,29.8012278,16.5471289,30.58485476,36.86256005,14.10105171,6.846977246,4.486670778,6.403338004,7.157513064
rbp7(2of2),0.731259486,0.506846536,0.635957158,1.461999989,1.035051576,0.446276094,0.642671779,0,0.753789637,0.322364465,0,0,1.939379504,1.280308071,1.035074538,1.567324163
rbpj(1of3),27.3416466,26.10238573,28.96234726,38.87622633,37.88001089,39.71195469,43.15200639,45.306353,39.71784753,50.05643894,48.14964138,53.23189557,36.42163297,27.3315482,27.8211725,26.45801697
rbpj(2of3),6.462404258,6.107466935,5.6811939,6.449371959,7.56545416,6.672145832,4.698893118,5.814756973,5.833039635,6.33495611,5.063692237,5.254693167,5.316927998,6.775318005,6.692366335,6.711513677
rbpj(3of3),6.401845527,6.080173759,4.891950065,2.911079302,1.106456932,1.183050771,3.636355931,0.690864133,2.805422718,1.61993857,4.660349578,5.327359442,5.697123762,4.469454916,3.727659728,7.639958183
rbpjl,0.299923276,0.383830645,0.389508358,0.149479956,0.379667061,0.711301599,0.033508212,0.410904825,0.419750012,0.341215185,0.328591738,0.318393035,0.112938843,0.117097732,0.269971084,0.383888763
rbpms,22.29518784,21.10355412,23.00079652,17.85979773,17.54662338,18.88189107,15.49070934,14.7796693,12.36916243,8.332781702,7.94684762,10.264825,15.96020435,24.13161123,23.30203426,25.58088705
rbpms2,0.825058243,1.417541774,1.316759905,3.636555242,2.937916994,2.237635148,2.208939736,1.782752161,3.085995529,2.241754893,2.465930008,2.033543586,1.702323465,1.949575361,1.91697537,2.147149665
rbsn,11.2167667,10.39802114,9.253153738,8.159211159,8.493837181,9.232082915,11.4287081,10.5202753,12.93787648,13.34239049,12.22419458,9.698674389,13.29688606,11.29140521,12.46491091,12.64667199
rbx1,41.95624064,49.32949927,39.85497647,15.85023672,8.960193645,12.19751209,17.51310076,12.51404104,14.16501475,12.3640186,23.97360541,20.15293938,62.9590122,52.59793709,67.97938037,75.94017297
rc3h1,11.78296705,9.679024599,10.53641108,10.20277861,9.303947623,11.36065337,9.668237748,9.651531679,10.30949036,16.20570857,9.47517654,11.58640032,6.353890002,11.88969499,10.64651429,9.801752501
rc3h2,2.0731874,1.784891628,1.890522803,1.299668024,1.753552925,1.644927555,1.373180993,1.451542359,1.400433085,2.074361096,1.48938926,2.029574125,1.370417211,1.925347045,1.716915753,1.629878449
rcan1,7.947736757,8.016515811,6.582098686,1.57717424,1.97043162,1.988148055,1.944901693,2.376317579,2.215436142,3.902068945,2.641306818,4.35423794,6.404764352,8.986636595,9.05004249,9.044677381
rcan3,0.425607011,0.557588593,0.94952088,6.632225441,7.971181417,7.726514564,9.5954499,8.219850675,9.43487006,9.833732002,7.382813659,7.847557993,1.316667757,0.748148587,0.596075562,0.727712353
rcbtb1(1of2),5.665846338,6.895552668,6.707225913,12.77951743,12.98847365,13.2164579,13.19909527,15.25954695,16.83350166,7.875846253,8.974158563,9.104513054,6.169888369,4.104715595,4.386663312,4.688197522
rcbtb1(2of2),4.576275408,5.303267953,6.195927213,15.97392723,16.10627568,20.58629278,26.18405667,26.40847206,25.8473553,25.9750198,25.36187319,23.23831608,10.13274195,3.440058562,3.882496188,4.334221868
rcbtb2,9.647614824,11.24126415,11.63190956,7.931976326,8.502564682,8.0987518,9.11604664,10.48614553,7.056889947,4.38487936,6.913139216,5.635461647,10.45350331,10.09656437,10.89146701,10.93715171
rcc1,55.15767696,49.08580687,41.41493776,9.408265767,11.09284938,18.93020992,12.39700892,11.97917581,12.74317566,13.35847689,15.22112935,17.53477055,43.34156246,70.26753567,66.80129823,62.5445756
rcc2,36.18656091,30.70912707,21.19795243,4.437409894,6.431795861,6.058071814,4.301012157,4.592494622,6.03082478,7.437391014,6.10055612,7.587854461,34.56858667,47.43868253,45.74556094,46.89046173
